Filename,Mean_R,Mean_G,Mean_B,Variance_R,Variance_G,Variance_B
image_0.jpeg,65.574995,102.807379,32.259771,1322.9096657499751,1409.9238601503594,930.3268520275589
image_1.jpeg,120.90285,140.487602,124.521111,4233.0187258774995,3402.7409802895972,5575.102926325681
image_10.jpeg,76.346014,121.973822,51.624156,1229.1349263118043,1040.396176712316,962.3472952876639
image_11.jpeg,124.058729,154.69554,92.756674,3570.68153390456,3020.3134721084,7792.135138457723
image_12.jpeg,94.171438,141.833596,65.165637,1824.6159350121557,1984.7126177087837,281.621781384231
image_13.jpeg,57.797507,91.168867,63.151451,2311.110367584952,2533.398166936311,2220.9483855945987
image_14.jpeg,148.937978,163.06898,83.628857,3258.360271271514,1769.2914557595996,6206.391631873549
image_15.jpeg,131.225279,166.081594,63.669992,3081.620180372159,1922.527278419163,500.22142671993544
image_16.jpeg,46.282581,121.73012,72.143734,876.2970789784393,1037.6503607856002,647.0198885372444
image_17.jpeg,74.180223,88.510686,40.568388,1960.5289586702706,2098.4197738094044,1495.3316990814562
image_18.jpeg,102.315349,137.870292,39.501466,2045.4494300081994,1741.1539118347364,311.968921850844
image_19.jpeg,138.324721,146.921916,130.192516,4483.020853272161,4190.876068888945,8110.554897589737
image_2.jpeg,29.25155,89.920861,20.30247,687.3232365975,2825.6549000186787,557.7002838991001
image_20.jpeg,123.494055,168.850988,81.044857,559.5964526569749,351.44833942385594,437.05484484955116
image_21.jpeg,68.181304,144.552781,43.59798,1004.555404859584,1240.6479801660391,1395.2316759195999
image_22.jpeg,42.690542,104.446059,20.707221,1550.8974977462362,1441.7754703685189,993.2010094571583
image_23.jpeg,21.147163,36.079912,9.546412,577.6185960514309,1006.0685220722561,238.48480392625598
image_24.jpeg,106.178844,135.633731,83.563313,2149.058310823664,2386.1449440196375,1728.99682946403
image_25.jpeg,72.810122,103.716413,46.554144,1672.7727823451157,2276.9659394134305,750.0538584272639
image_26.jpeg,78.113135,109.790195,32.374935,3185.538211471775,4513.695036861975,1285.0160647457749
image_27.jpeg,82.882587,91.056554,54.754349,3078.1770191874307,2893.865915645084,1810.0179305861998
image_28.jpeg,9.989563,50.220857,15.642853,357.56121806903116,2107.9091971855514,668.9694870203909
image_29.jpeg,117.369482,168.0556,28.92982,1196.5492750516757,1266.3222986399994,680.5857407675999
image_3.jpeg,101.760854,118.163644,25.164733,1132.0506811906841,1285.2137886412631,571.2869520387109
image_30.jpeg,144.908659,161.123639,67.144436,4027.812175821717,3418.376414397679,2006.4563822419036
image_31.jpeg,78.361571,111.764571,20.374986,483.5508394119591,586.9881201859589,366.949003499804
image_32.jpeg,61.621003,71.775146,30.705717,2383.718492273992,2375.4034926786844,1126.1734265159116
image_33.jpeg,137.679821,149.705623,56.931083,4572.763258407958,3754.18316518187,3622.9253854471112
image_34.jpeg,137.845582,132.969877,94.036751,2635.2594070812784,2275.6068516048713,2943.210274364001
image_35.jpeg,160.889919,163.375879,138.881106,2890.534151173441,3049.211675977359,9040.655816216766
image_36.jpeg,80.20707,89.658537,66.263351,4627.743186015099,3119.287630019632,3307.2785912508
image_37.jpeg,93.355627,86.192781,53.707782,2195.070748436871,1885.287084486039,2046.529914640476
image_38.jpeg,92.92195,112.348084,50.360044,4041.384530197503,3886.153643528944,4535.336038318068
image_39.jpeg,133.922691,152.413172,119.915809,2702.507904318519,3202.6894868984155,7685.043528875519
image_4.jpeg,108.780657,152.323914,39.878746,2169.0334716483517,1564.8171137206036,1414.9731574674838
image_40.jpeg,126.15463,109.649691,70.490991,2032.5495835630998,1304.2503466045189,1106.0009688379187
image_41.jpeg,93.96718,118.780338,59.346686,3707.342422847602,2961.622462605758,1439.7030288174035
image_42.jpeg,91.258177,96.686277,43.943032,3159.76622963667,3161.380066879271,1615.4542466469768
image_43.jpeg,148.348312,145.579022,107.766798,5085.754578750654,4554.507423523518,7920.004532827194
image_44.jpeg,71.245813,74.38887,48.891593,888.5890829690312,865.2762501231001,262.15138492235104
image_45.jpeg,93.68791,96.240252,15.484457,1292.9356178319,1091.5989709764963,367.70583041515096
image_46.jpeg,87.9814,98.546344,70.964167,2133.6657220399993,1814.9232762336646,1191.3947609961108
image_47.jpeg,84.248402,93.549062,59.869431,4691.486978446396,4710.119602920154,4385.104436736239
image_48.jpeg,116.61492,128.015583,102.113422,2694.8424053936,3022.6072741701105,5920.536793449914
image_49.jpeg,47.891324,81.647122,24.167281,1397.2963855270243,2512.061891117115,816.0056660670388
image_5.jpeg,96.899115,103.859236,56.70072,2571.083657216775,2606.949643496305,982.0456054816001
image_50.jpeg,146.111218,149.009086,107.944736,1009.5824185564761,734.2133014446036,796.110921890304
image_51.jpeg,108.683872,134.527114,114.875245,2606.4564410876164,3052.7917188310053,7051.907569189975
image_52.jpeg,99.901969,92.820407,59.129302,1329.9848549230394,1045.9421953543504,2409.109144992795
image_53.jpeg,172.005178,148.662906,84.017531,400.38149918831607,450.69742963516376,582.481047664039
image_54.jpeg,100.339697,118.384321,116.769621,3022.824926948192,3583.672280368959,7114.35718451636
image_55.jpeg,142.870632,157.128505,143.752985,6028.883601920578,7243.720941464973,12433.999878589779
image_56.jpeg,76.898484,104.698424,85.773003,2400.6423105017443,3552.812819916224,2678.9460833619905
image_57.jpeg,70.791605,68.645079,43.866119,1932.4012985239742,1764.5378040837584,1313.9776668778397
image_58.jpeg,119.228528,115.939095,95.794515,3898.375506953216,4337.758587580975,5510.446698914776
image_59.jpeg,82.846073,83.445587,58.039983,2844.2157294786725,2865.755607225431,2069.0823283597106
image_6.jpeg,87.243096,140.897883,117.209758,2070.7618063347845,354.60991911831115,7423.155487581439
image_60.jpeg,71.104874,152.020085,132.567646,3485.6968494441244,2483.958267592776,11899.767824018676
image_61.jpeg,148.856938,129.003886,88.182865,3937.3618112641575,2739.971746899004,3842.7297173917746
image_7.jpeg,125.615525,116.612529,47.236647,4074.6711059743748,4048.7667472241587,2115.1827111973907
image_8.jpeg,76.412927,93.106426,34.265894,2053.672566292672,2442.1746715065246,752.6134763807644
image_9.jpeg,53.426386,176.697994,31.051163,737.5120309790035,744.9861423759638,576.7508833474311
