Filename,Mean_R,Mean_G,Mean_B,Variance_R,Variance_G,Variance_B
image_0.jpeg,163.511642,136.887308,119.757996,3927.3140764638347,4326.539538513136,4907.039414063982
image_1.jpeg,213.747839,213.826032,211.177336,196.921003830079,199.39746513497596,206.094171943104
image_10.jpeg,182.808287,177.176051,176.184525,3239.509837125631,3916.0730890453983,4612.5134495243765
image_11.jpeg,214.168268,216.345163,212.966561,1344.1730398801753,1309.7942275034304,1485.4107088332796
image_12.jpeg,96.360129,95.52627,96.516457,2467.910956103358,2009.9002518871007,2127.934315167152
image_13.jpeg,143.010507,146.452436,139.279585,3928.159288602952,3521.2307396659035,4294.427327227776
image_14.jpeg,178.864994,182.741566,182.95502,4301.360641379962,4272.874615867645,4389.403590799601
image_15.jpeg,129.366306,128.793331,128.388569,3856.0684779143658,3951.6189869244376,3855.0578811322384
image_16.jpeg,152.768493,159.300748,157.656576,5087.150181508952,5226.967474640496,5502.739645956223
image_17.jpeg,80.73388,92.597204,96.674074,3961.2752081455997,2544.8445593823826,3188.1286662425236
image_18.jpeg,92.510252,85.162883,73.735953,1837.7485708964955,2010.6994861283101,2332.953544181792
image_19.jpeg,112.951211,113.22391,118.933709,4183.860066633478,4150.624578311902,4182.957630503318
image_2.jpeg,91.353405,86.6875,76.052277,2839.755401905975,2683.78460175,2607.273170115271
image_20.jpeg,132.274796,124.555254,119.72499,4589.711697158384,4626.883126995484,5596.139279499904
image_21.jpeg,71.497143,83.140776,66.010347,1507.0199658375514,1241.3890841178236,891.7218119395908
image_22.jpeg,77.122586,85.831543,84.59869,2332.7312826726034,2130.442601239151,2010.2452962838988
image_23.jpeg,149.578001,153.265256,152.19858,5886.071127843998,6035.554237254464,5978.9659259836
image_24.jpeg,73.375244,76.998078,66.626264,2726.6588679404636,2068.6337643059164,2156.4238334023044
image_25.jpeg,162.239195,162.725047,151.244828,4501.633502751974,4393.080055847791,6107.888695250418
image_26.jpeg,100.520166,82.954319,81.810985,2669.207587332444,732.1514262462391,257.553102329775
image_27.jpeg,195.080355,179.570798,155.825201,2581.1009180739748,2583.1027916431954,3052.2655523096005
image_28.jpeg,159.936373,156.68988,148.607497,3006.5921966048704,3204.5468995856004,4108.3246883949905
image_29.jpeg,77.548965,83.905777,63.110227,2205.0530364287756,2444.725669026272,2131.51703700847
image_3.jpeg,44.944583,50.315296,52.40392,4596.57373595611,3489.6594924323845,2833.1199946336
image_30.jpeg,137.732,123.027964,109.506195,2921.2309820000005,3174.1758280147037,3204.836503621973
image_31.jpeg,142.338205,188.42959,214.970869,2007.0331183779742,1480.8474524318997,2397.807686384839
image_32.jpeg,56.935784,54.712066,51.449072,1705.4450843053435,1525.1695700116438,1620.8775623388153
image_33.jpeg,93.69377,105.831823,113.784041,2511.8672071871015,2250.386265496671,2063.3429587103196
image_34.jpeg,36.261405,36.261405,36.261405,2944.207232425976,2944.207232425976,2944.207232425976
image_35.jpeg,82.55263,79.452923,67.664275,3921.1086680830995,3131.64810575607,2892.4172877243755
image_36.jpeg,98.619515,92.722229,73.601373,2587.1880061647753,1571.9863302715585,1199.9388895148718
image_37.jpeg,98.381829,101.236873,100.730604,1556.0076636147592,1455.6191961818702,1865.6599757951842
image_38.jpeg,144.277845,144.277845,144.277845,3994.025337155975,3994.025337155975,3994.025337155975
image_39.jpeg,84.777269,93.024733,94.908371,4314.542057901637,4308.364527278712,4109.832333126357
image_4.jpeg,95.135201,98.214125,95.943452,4906.628761689598,3538.3951174843746,3358.2176863236955
image_40.jpeg,140.528903,124.252097,104.50516,3938.2379466165903,4089.8039001025895,4366.759915374399
image_41.jpeg,56.384346,56.945097,51.076357,3754.179614152283,3836.114588660591,3480.2481546085523
image_42.jpeg,82.867569,80.257201,77.58756,4431.93320703024,4574.0608106456,4790.163963246401
image_43.jpeg,61.301584,73.08471,75.373856,1814.7315750909445,1910.5962562158998,1899.7805756912644
image_44.jpeg,98.854728,98.57222,105.66148,4572.376392046017,4546.4866662715995,4851.926352209598
image_45.jpeg,80.884658,76.515641,73.811384,5984.493844223036,5781.049249359118,5521.871626004544
image_46.jpeg,43.753996,58.798051,57.707539,4669.363488031986,3978.4521936013994,2835.7740735634784
image_47.jpeg,147.555572,110.934338,74.114365,3419.7023977528165,3867.4254625017556,4524.892375646774
image_48.jpeg,142.043919,109.069743,83.96509,2047.9317861214383,1732.2568869139504,1570.9420132918992
image_49.jpeg,41.241905,58.250449,68.343153,3938.9476809709777,4139.713266298397,4067.31188501859
image_5.jpeg,134.493442,105.411289,86.354829,2398.189462992636,1494.8711983584792,346.45774138075905
image_50.jpeg,105.195049,100.597817,86.867499,7250.947520887601,5910.51963383451,5010.585998485001
image_51.jpeg,93.443965,69.895232,43.005526,2797.8423560787746,2814.344819666176,3015.962977463323
image_52.jpeg,189.006051,192.270965,197.079714,824.876332385399,781.346500968775,759.178727678204
image_53.jpeg,130.424835,155.086761,152.12146,3358.0501342227763,2819.323917528878,3080.119585468401
image_54.jpeg,145.478359,136.772784,96.865748,5226.43082166712,5019.6265228893435,2597.873648400496
image_55.jpeg,51.924668,54.145985,55.655433,1691.6812110897765,1868.9348993797746,2043.6346025825112
image_56.jpeg,167.635562,172.744308,173.388533,2968.712320944158,2183.013535601135,2952.3798931079104
image_57.jpeg,141.515327,146.182004,151.259768,9560.171331083071,10256.25076654398,10545.318746586177
image_58.jpeg,187.229158,187.351687,187.404984,870.5242906110359,866.7525652540314,858.8791579597441
image_59.jpeg,130.696093,139.97472,144.022525,7022.19711153535,5936.339212921603,5599.590251624376
image_6.jpeg,123.162329,118.335416,117.619048,3175.0445082957576,3063.8837641069426,2925.1419475736966
