Filename,Mean_R,Mean_G,Mean_B,Variance_R,Variance_G,Variance_B,corr_5_0,corr_0_5,corr_50_0,corr_0_50
image_0.jpeg,1.103343374370242,0.752166940423796,0.5162611070168807,-0.41744973114669665,-0.22719938513875226,-0.3186318526034503,-1.6990568489416378,-1.2394715039309019,-1.6990568489416378,-1.2394715039309019
image_1.jpeg,1.2567320957012371,1.0221811647248211,0.4035016899562558,-0.9339860312033832,-0.9989955648498898,-0.9685019352887679,-2.1170037065367273,-2.6574267523920487,-2.1170037065367273,-2.6574267523920487
image_10.jpeg,0.38486662292327434,-0.4694303264418418,-0.8327345336683779,-0.29588932425388065,-0.3411692876614974,-0.5765518695356753,0.22289277195645146,-0.3124404579747258,0.22289277195645146,-0.3124404579747258
image_11.jpeg,1.4214024508387706,1.3054772296792143,0.4209377242537798,-0.7682237660702477,-0.7565141367436938,-0.6729484941047231,-1.3736360286393847,-2.1482094813246944,-1.3736360286393847,-2.1482094813246944
image_12.jpeg,-1.4473194922116313,-1.141986388376716,-0.7793196276774433,0.21910228625676187,0.44226377659531246,0.09864840643006138,0.1766001575833082,0.0006979138094800486,0.1766001575833082,0.0006979138094800486
image_13.jpeg,1.340048056875382,1.2769754051806914,0.6863263073598918,-1.086559091127659,-1.1881440450388379,-1.0739445081067442,-0.11166503902414675,-0.20984290787925255,-0.11166503902414675,-0.20984290787925255
image_14.jpeg,-0.4281399562456157,-0.7976940654486124,-1.1233529277709424,-0.345989158278583,-0.41714755506034285,-0.7705664655589364,0.3998524903354458,0.3829876921190932,0.3998524903354458,0.3829876921190932
image_15.jpeg,0.22513791287850654,0.7697471917646338,1.2091029908411335,-0.6406189927297693,-0.5919747506475038,-0.13617389477301545,0.29463274077709906,0.408305194950622,0.29463274077709906,0.408305194950622
image_16.jpeg,2.2628069011259133,2.439044644802266,2.539941964327576,-1.0812702566996466,-1.1982482609564813,-1.1257978900197687,-0.4142063729179838,-0.4244302818164344,-0.4142063729179838,-0.4244302818164344
image_17.jpeg,1.4562678113384209,1.6103912601721793,1.6194600741454799,-0.9132182748536625,-0.9760144764029746,-0.46504674947620334,0.7862872023435652,0.5760835346644371,0.7862872023435652,0.5760835346644371
image_18.jpeg,0.32986128152083183,0.8233844718243024,1.1849648127677677,-0.6384251569207237,-0.48969315482258574,-0.3501418681279799,-0.8982646873177943,-1.4316202396830782,-0.8982646873177943,-1.4316202396830782
image_19.jpeg,-0.4795165597858744,-0.41485834825863704,-0.09612367005626495,-0.8394406810540449,-0.8088141564770386,-0.6494175539526552,0.30483578255973676,0.21514400878288217,0.30483578255973676,0.21514400878288217
image_2.jpeg,1.4121097420374855,0.40817863943629196,0.038082954117206406,-0.07614984944686316,0.7503739782044985,0.5227644017093085,0.38510602281435835,0.28240471129760747,0.38510602281435835,0.28240471129760747
image_20.jpeg,-1.3626827234096652,-1.0637409694481554,-0.8639141518560852,0.8405753921823517,0.5911777426221164,0.10319290532152818,-0.663186315382682,-1.084647520453985,-0.663186315382682,-1.084647520453985
image_21.jpeg,-0.1752319326679912,-0.3542665497054219,-0.4898958848777734,-0.5724036884837158,-0.48738307970015604,-0.4898456225224094,-2.3607297360635626,-1.4058439034855337,-2.3607297360635626,-1.4058439034855337
image_22.jpeg,-0.2113643994466524,-0.33005001340955903,-0.5235687907779335,0.021502344285423348,0.3037815669506173,0.01595789847064313,-1.3525806546935366,-1.3597622068873607,-1.3525806546935366,-1.3597622068873607
image_23.jpeg,0.9125078911223817,0.6300439699765683,0.380675211498935,-0.7855225586619718,-0.822336873558875,-0.8481796630278388,0.1901871001229796,0.24923033038394182,0.1901871001229796,0.24923033038394182
image_24.jpeg,0.9491909301789946,1.1269740079546429,0.9950892721816411,0.1251696376998236,-0.23075235038936986,-0.2368020212673815,0.5071633812386233,0.5536613589204686,0.5071633812386233,0.5536613589204686
image_25.jpeg,-1.7513313954815362,-1.2860579100375482,-0.4951764196304314,-0.001974188123123687,-0.38491901081334606,-0.5669467117601734,0.5737068316951754,0.5779206329298623,0.5737068316951754,0.5779206329298623
image_26.jpeg,0.1786802941700104,0.6226863468129831,0.7801243438718273,0.6027685218455366,1.587400967573445,1.715026417288717,0.6044188117967292,0.8572118897291452,0.6044188117967292,0.8572118897291452
image_27.jpeg,-0.20887139706882815,-0.9899515904071982,-1.4544155297014971,-0.36682851996601645,-0.19361293259688525,-0.3053709546387649,-1.71165349710994,-1.006891221527332,-1.71165349710994,-1.006891221527332
image_28.jpeg,-0.3100401207636278,-0.48481734304911994,-0.5444322931728509,1.0463659713736169,1.7749919956384508,2.195137993516965,0.8376782607570057,0.815671387997219,0.8376782607570057,0.815671387997219
image_29.jpeg,-0.40679289606851865,-0.0788602592065348,0.16973102412152774,0.6465282701575688,1.5845886670339815,2.452856102592302,0.6652648270163183,0.6782710159855078,0.6652648270163183,0.6782710159855078
image_3.jpeg,0.5989858579838948,-0.26112243529968765,-1.054298884828643,-0.31756689911970065,-0.22744255845003958,-0.35649784160641396,-1.5749495903558313,-2.2604346419675463,-1.5749495903558313,-2.2604346419675463
image_30.jpeg,-0.15505853522011334,0.011426659923456668,0.13177918685487083,-0.9785110083663694,-0.7895461663541432,-0.19863672451216535,0.656035921235519,0.5444242744142321,0.656035921235519,0.5444242744142321
image_31.jpeg,1.2842860656034587,1.2950370445169461,1.0432759706094692,-0.7614963605040651,-0.8513120202603446,-0.27316432169161703,0.4952952413160244,0.378134180393956,0.4952952413160244,0.378134180393956
image_32.jpeg,-0.6072148174137113,-0.490831213142617,-0.3690523508192093,0.3050375419328197,0.5675664336536183,0.5714506731665953,0.7629729052041969,0.637023901826328,0.7629729052041969,0.637023901826328
image_33.jpeg,0.08329554204266426,0.6654594579450782,0.7210007670704779,1.2701816073077492,0.2534016192877325,0.135284722411612,0.8373648155767307,0.8500903213496847,0.8373648155767307,0.8500903213496847
image_34.jpeg,-1.891162768242808,-1.5236206809857011,-0.687365882915467,-0.7231209969743883,-0.7930593589784682,-0.34492262491644926,0.4310276231005092,0.2316972411352299,0.4310276231005092,0.2316972411352299
image_35.jpeg,0.967254254300423,1.1041644198530873,0.5408612813758231,-0.7789545012257172,-0.6925507961416534,-0.43202258268506255,-0.3500938310710182,-0.7990779111895319,-0.3500938310710182,-0.7990779111895319
image_36.jpeg,0.024232679394029955,-0.6463015254502448,-0.7644751402015052,-0.9038433517779685,-0.9765811164089098,-0.9421281109271643,-2.358715381561337,-2.2432467295101293,-2.358715381561337,-2.2432467295101293
image_37.jpeg,-1.0687361931292563,-0.8142559163387119,-0.5244080832038017,0.738515325708028,1.3448406005329356,0.8646329673481374,0.8146044429684864,0.9078382611819078,0.8146044429684864,0.9078382611819078
image_38.jpeg,0.28844737249647606,-0.16835682754590545,-0.8454989224051581,-0.8139679903608346,-0.8531862749292923,-0.8807663250159625,-2.407859048453254,-1.8976383440662123,-2.407859048453254,-1.8976383440662123
image_39.jpeg,-1.1141488775405937,-1.6483514663698031,-1.4528085074249546,0.2504659888727312,0.17137604558898073,1.1003154167362024,0.9008112697480803,0.9694332797537561,0.9008112697480803,0.9694332797537561
image_4.jpeg,1.2778010672335811,1.2377289485595497,1.2291021898512737,0.8543161535226678,1.370843088501594,1.766145055978271,0.8243526081303983,0.926297459323759,0.8243526081303983,0.926297459323759
image_40.jpeg,0.14752817375437952,-0.05701995521074934,-0.4134085056265317,3.662786617589787,3.634933187225653,1.7288133576091673,0.9528376426756767,1.0845788720799547,0.9528376426756767,1.0845788720799547
image_41.jpeg,0.24426333330866667,1.225004175981002,1.8165518588917624,0.7860366388310691,-0.8197941054111192,-0.7125205654742371,0.6523217244913371,0.6113178971473837,0.6523217244913371,0.6113178971473837
image_42.jpeg,-0.9027599503708517,-1.7222642870846763,-1.9601423986580206,-0.5273615047024388,-0.587257993833007,-0.8065202677037963,-1.4696246454239976,-0.7719006337852908,-1.4696246454239976,-0.7719006337852908
image_43.jpeg,-0.4534479713269605,0.07245099576446402,0.4698701409054125,0.5623135471511611,1.8255964576931456,2.444103354496008,0.8413408094929958,0.9414123647419446,0.8413408094929958,0.9414123647419446
image_44.jpeg,0.15791620857576152,-0.23056481682956703,-0.7257510616921806,-0.27322578926285884,1.219204577338615,2.1241924724264347,0.8402389878519136,0.9000081228251736,0.8402389878519136,0.9000081228251736
image_45.jpeg,0.41248643836600896,0.5058467171985775,0.31009636763856757,-0.9295783862427597,-0.8943648744999898,-0.6956283603358989,-1.7978653730019176,-1.9817435909335348,-1.7978653730019176,-1.9817435909335348
image_46.jpeg,0.7859208937617784,0.9210729239708997,1.2063857447404316,0.5097350306214936,0.09261059619449499,-0.19653681236791348,0.677408708098632,0.8446321579557592,0.677408708098632,0.8446321579557592
image_47.jpeg,-0.27664877154098666,-0.8213020000248534,-1.1869124670831777,-0.03260802722974289,-0.05567560326645867,-0.5224440820151217,0.6128923800835804,0.43923524493096483,0.6128923800835804,0.43923524493096483
image_48.jpeg,-2.102184487084062,-1.4227192123406152,-1.0441216554607957,0.23701316009938245,-0.2635627479038606,-0.46087966624853455,0.3617252968651033,0.18500670083929452,0.3617252968651033,0.18500670083929452
image_49.jpeg,-0.2461382114242268,-0.9775265364442718,-1.0567840421203603,-0.7213636650039894,-1.029861417247675,-1.0438455340235688,-1.739233134725313,-1.1205320436984705,-1.739233134725313,-1.1205320436984705
image_5.jpeg,0.6198813410633265,0.9358699600363933,1.0319687366987218,-0.559666303091535,-0.5427452225270492,-0.565802239766972,0.3259432401126719,0.41264918180042415,0.3259432401126719,0.41264918180042415
image_50.jpeg,-1.4037922536160181,-0.7948742984746874,-0.3184211967790783,0.2623949180045096,0.19681168897607038,0.29185966971169375,0.8128756240325395,0.8291580404728297,0.8128756240325395,0.8291580404728297
image_51.jpeg,-2.5368479285704715,-1.89727389958393,-1.0874017689140636,-0.48071498341544205,-0.5698928003850263,-0.6950905282843997,0.3811546267595237,0.5255280196745095,0.3811546267595237,0.5255280196745095
