Feature,Importance
Variance_B,0.17686019063645
Variance_R,0.13580008746504774
Mean_R,0.12424007293701227
Variance_G,0.11015540214035019
Mean_B,0.10635497778664074
corr_50_0,0.07540507289753402
corr_5_0,0.07408441178253335
Mean_G,0.07183901437352708
corr_0_5,0.06282719319773873
corr_0_50,0.062433576783165794
